Name,1FGL,z,f_z,F5980,alpha,L5100,LHb,WHb,MHb,L3000,LMgII,WMgII,MMgII,Tel,_RA,_DE
J0217-0820,J0217.0-0829,0.607, ,5.3,-1.95,      ,      ,     ,     ,44.516,41.852,1200,6.53,SDSS,34.26108,-8.34786
J0236-6136,J0238.3-6132,0.467, ,6.1,-1.91,      ,      ,     ,     ,      ,      ,    ,     ,NTT ,39.22179,-61.60422
J0256+2924,J0256.9+2920,0.19, ,46,-1.08,      ,      ,     ,     ,      ,      ,    ,     ,HET ,44.22623,29.415
J0317+0248,J0318.1+0254,0.748, ,14.7,-1.94,      ,      ,     ,     ,      ,      ,    ,     ,HET ,49.44965,2.81183
J0325-5629,J0325.6-5626,0.862, ,7,-0.25,      ,      ,     ,     ,45.129,43.392,4800,8.68,NTT ,51.34437,-56.48486
J0342+3859,J0342.2+3859,0.945, ,32.9,-1.1,      ,      ,     ,     ,45.871,42.653,1900,7.42,HET ,47.70783,38.24828
J0422-0643,J0422.0-0647,0.242, ,14.1,-0.29,44.087,42.016,2500,7.47,      ,      ,    ,     ,NTT ,65.545,-6.72925
J0430-2507,J0430.4-2509,0.516, ,25.9,-1.02,      ,      ,     ,     ,45.123,41.596,1500,6.51,VLT ,67.56679,-25.1275
J0442-0017,J0442.7-0019,0.845, ,26.9,-0.25,45.598,43.296,1700,7.74,45.693,43.701,3000,8.46,HET ,70.66108,-0.29539
J0445-6015,J0445.2-6008,0.097, ,42.8,-2.91,      ,      ,     ,     ,      ,      ,    ,     ,NTT ,71.25667,-60.25006
J0456-3136,J0456.4-3132,0.865, ,10.3,0.19,45.102,42.583,2600,7.78,45.302,43.331,4600,8.61,VLT ,74.15283,-31.60347
J0509+1011,J0509.2+1015,0.621, ,38.7,-0.86,45.488,42.735,3200,8.03,45.503,43.346,4100,8.52,HET ,77.36442,10.19572
J0517+0858,J0517.6+0857,0.328, ,7.1,-3.03,      ,      ,     ,     ,      ,      ,    ,     ,HET ,79.41693,8.97661
J0533-8324,J0533.0-8324,0.774, ,13.3,-0.51,      ,      ,     ,     ,45.244,42.523,2100,7.4,VLT ,83.41038,-83.40997
J0541-0541,J0540.9-0547,0.838, ,55.1,-1.29,      ,      ,     ,     ,45.959,43.852,3700,8.74,HET ,85.40867,-5.69706
J0607-0834,J0608.2-0837,0.87, ,84.2,0.33,45.931,43.74,3600,8.63,46.223,44.306,3700,9.02,HET ,91.99875,-8.58056
J0645+6024,J0645.5+6033,0.832, ,23.3,-0.14,45.511,43.574,6800,9.09,45.625,43.992,8600,9.56,HET ,101.25571,60.41175
