XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J140127.7+025605,0.265,3.51,0.017,0.016,     ,0,0,44.3,0.08,0.16,44.43,0.08,0.16,8.08,0.05,0.09,     ,     ,     ,8.08,0.05,0.09,8.36,-0.59,0.03,0.06,-1.03,0.06,0.11,-1.31,210.3654,2.93503
J140921.1+261336,1.1,     ,0,0,3.62,0.035,0.039,45.56,0.17,0.16,45.82,0.18,0.15,     ,     ,     ,9.1,0.12,0.1,9.1,0.12,0.1,9.74,1.01,0.15,0.12,-0.45,0.19,0.16,-1.09,212.33833,26.22694
J141531.5+113156,0.257,4.09,0.081,0.074,     ,0,0,44.08,0.08,0.1,43.97,0.08,0.09,9.13,0.17,0.15,     ,     ,     ,9.13,0.17,0.15,9.14,-1.06,0.05,0.05,-2.55,0.18,0.16,-2.56,213.8811,11.53251
J144937.5+090826,1.26,     ,0,0,3.86,0.017,0.017,45.47,0.11,0.1,45.66,0.12,0.09,     ,     ,     ,9.5,0.07,0.06,9.5,0.07,0.06,9.67,0.56,0.08,0.06,-1.3,0.11,0.08,-1.47,222.40667,9.14056
J150428.3+101856,1.01,     ,0,0,3.73,0.006,0.007,45.9,0.11,0.1,46.13,0.11,0.1,     ,     ,     ,9.52,0.05,0.06,9.52,0.05,0.06,9.85,0.95,0.11,0.09,-0.93,0.12,0.11,-1.26,226.11833,10.31553
J151815.0+060851,1.294,     ,0,0,3.96,0.011,0.011,45.42,0.13,0.2,45.65,0.13,0.2,     ,     ,     ,9.68,0.07,0.1,9.68,0.07,0.1,9.8,0.55,0.11,0.15,-1.49,0.13,0.18,-1.61,229.56214,6.14804
J153205.7-082952,1.239,     ,0,0,3.78,0.049,0.055,45.42,0.15,0.15,45.69,0.14,0.16,     ,     ,     ,9.36,0.11,0.14,9.36,0.11,0.14,9.71,0.83,0.13,0.14,-0.89,0.17,0.2,-1.24,233.02333,-8.49722
J153419.0+011808,1.283,     ,0,0,3.87,0.02,0.021,45.55,0.15,0.15,45.82,0.14,0.16,     ,     ,     ,9.61,0.08,0.09,9.61,0.08,0.09,9.9,0.97,0.13,0.14,-1,0.15,0.17,-1.29,233.57935,1.30155
J153456.1+013033,0.31,3.51,0.037,0.041,3.79,0.013,0.014,44.7,0.21,0.15,44.95,0.2,0.16,8.27,0.13,0.11,8.9,0.1,0.08,8.9,0.1,0.08,9.04,-0.13,0.19,0.15,-1.39,0.21,0.17,-1.53,233.7342,1.50898
J160706.6+075709,0.233,3.42,0.055,0.059,     ,0,0,43.88,0.08,0.09,44.02,0.08,0.1,7.7,0.1,0.11,     ,     ,     ,7.7,0.1,0.11,7.87,-1.24,0.06,0.07,-1.3,0.12,0.13,-1.47,241.77737,7.95251
J160731.5+081202,0.226,3.18,0.059,0.079,     ,0,0,43.44,0.12,0.09,43.71,0.11,0.1,6.99,0.09,0.11,     ,     ,     ,6.99,0.09,0.11,7.64,-1.09,0.09,0.08,-0.44,0.13,0.14,-1.09,241.88164,8.20081
